title,jurisdiction,abbreviations,url
A.K.Marshall’s Kentucky Reports,us,"A.K.Marsh., Ky.(A.K.Marsh.), Mar., Marsh., Marsh.(Ky.), Marsh.A.K.",https://legalabbrevs.cardiff.ac.uk/record/a-k-marshalls-kentucky-reports/
A.Moore’s Reports (in Bosanquet & Puller),uk,"A.Moo., Moo.A., Moore A.",https://legalabbrevs.cardiff.ac.uk/record/a-moores-reports-in-bosanquet-puller/
"Abbott, Civil Jury Trials",us,Abbott Civ.Jur.Tr.,https://legalabbrevs.cardiff.ac.uk/record/abbott-civil-jury-trials/
"Abbott, Criminal Trial Practice",us,Abbott Crim.Tr.Pr.,https://legalabbrevs.cardiff.ac.uk/record/abbott-criminal-trial-practice/
"Abbott, Digest of the Law of Corporations",us,Abb.Dig.Corp.,https://legalabbrevs.cardiff.ac.uk/record/abbott-digest-of-the-law-of-corporations/
"Abbott, Forms of Pleading",us,Abb.F.,https://legalabbrevs.cardiff.ac.uk/record/abbott-forms-of-pleading/
"Abbott, Forms of Pleading, Supplement",us,Abb.F.Supp.,https://legalabbrevs.cardiff.ac.uk/record/abbott-forms-of-pleading-supplement/
"Abbott, Introduction to Practice under the Codes",us,Abb.Int.,https://legalabbrevs.cardiff.ac.uk/record/abbott-introduction-to-practice-under-the-codes/
"Abbott, Law Dictionary 1879",us,"Abb.Law Dict., Abbott, South Texas L.J.",https://legalabbrevs.cardiff.ac.uk/record/abbott-law-dictionary-1879/
"Abbott, Legal Remembrancer",us,Abb.Leg.Rem.,https://legalabbrevs.cardiff.ac.uk/record/abbott-legal-remembrancer/
"Abbott, Merchant Ships. 14th ed.",us,"Abb.Sh., Abb.Ship., Abbott",https://legalabbrevs.cardiff.ac.uk/record/abbott-merchant-ships-14th-ed/
"Abbott, Monthly Index",us,Abb.Mo.Ind.,https://legalabbrevs.cardiff.ac.uk/record/abbott-monthly-index/
"Abbott, National Digest",us,Abb.Nat.Dig.,https://legalabbrevs.cardiff.ac.uk/record/abbott-national-digest/
"Abbott, New York Digest",us,"Abb.Dig., Abb.N.Y.Dig.",https://legalabbrevs.cardiff.ac.uk/record/abbott-new-york-digest/
"Abbott, Pleading under the Code",us,Abb.Pl.,https://legalabbrevs.cardiff.ac.uk/record/abbott-pleading-under-the-code/
