# legalhist.whitelist candidates for OCR digit-corrupted reporter abbreviations
# sample: 1052158 pages (10.0% of moml.page_ocrtext)
# reporter_standard is proposed by stripping letter-flanked digits and
# looking the result up in the current whitelist. REVIEW BEFORE APPLYING.
# confidence is "canonical" when the stripped spelling is itself a reporter in
# legalhist.reporters, and "via-variant" when it is another whitelist variant
# that maps onward, in which case the proposal inherits that entry's looseness.
#
# count	reporter_found	stripped	reporter_standard	confidence	example
#UNRESOLVED	1	"Blandl Cfl. (M1d.)"	"Blandl Cfl. (Md.)"	"2 Blandl Cfl. (M1d.)\n\t\t\t0"
#UNRESOLVED	1	"Blenkin8opp"	"Blenkinopp"	"1 Blenkin8opp, 2"
#UNRESOLVED	1	"Blig1x"	"Bligx"	"5 Blig1x, 730"
#UNRESOLVED	1	"Blight r, Ahl8ey"	"Blight r, Ahley"	"536 Blight r, Ahl8ey 18"
#UNRESOLVED	1	"Blilac. Con. e2uG."	"Blilac. Con. euG."	"3 Blilac. Con. e2uG. 160"
#UNRESOLVED	1	"Blllar. i0S"	"Blllar. iS"	"28 Blllar. i0S, 113"
#UNRESOLVED	1	"Blllckf. (I1nt.)"	"Blllckf. (Int.)"	"1 Blllckf. (I1nt.) 1"
#UNRESOLVED	1	"Blood9Creal o..."	"BloodCreal o..."	"395 Blood9Creal o... 337"
#UNRESOLVED	1	"Blr1oim"	"Blroim"	"2 Blr1oim, 401"
#UNRESOLVED	1	"Bn1d."	"Bnd."	"2 Bn1d. 174"
#UNRESOLVED	1	"Bn9sh)"	"Bnsh)"	"7 Bn9sh) 169"
#UNRESOLVED	1	"Bo0t"	"Bot"	"1 Bo0t, 120"
#UNRESOLVED	1	"Bo1v."	"Bov."	"20 Bo1v. 219"
#UNRESOLVED	1	"Bo3et."	"Boet."	"10 Bo3et., 669"
#UNRESOLVED	1	"Bo3toz, L. R."	"Botoz, L. R."	"1 Bo3toz, L. R. 8"
#UNRESOLVED	1	"Bo3w"	"Bow"	"9 Bo3w, 1"
#UNRESOLVED	1	"Bois8eaur."	"Boiseaur."	"140 Bois8eaur. 7"
#UNRESOLVED	1	"Bor2o."	"Boro."	"5 Bor2o. 344"
#UNRESOLVED	1	"Bos. & P1il."	"Bos. & Pil."	"2 Bos. & P1il. 270"
#UNRESOLVED	1	"Bos. & P1ll."	"Bos. & Pll."	"2 Bos. & P1ll. 234"
#UNRESOLVED	1	"Bos0ad Pull."	"Bosad Pull."	"2 Bos0ad Pull. 346"
#UNRESOLVED	1	"Bos0o."	"Boso."	"7 Bos0o. 649"
#UNRESOLVED	1	"Bos0w. (N.Y.)"	"Bosw. (N.Y.)"	"4 Bos0w. (N.Y.) 94"
#UNRESOLVED	1	"Boullen6is"	"Boullenis"	"2 Boullen6is, 450"
#UNRESOLVED	1	"Bow.s L. Bow3es"	"Bow.s L. Bowes"	"316 Bow.s L. Bow3es 367"
#UNRESOLVED	1	"Boyce (Del.) s0S"	"Boyce (Del.) sS"	"4 Boyce (Del.) s0S, 1"
#UNRESOLVED	1	"Boyles v M3cMurphy"	"Boyles v McMurphy"	"92 Boyles v M3cMurphy, 98"
#UNRESOLVED	1	"Bra1n, li W in. Iir"	"Bran, li W in. Iir"	"1 Bra1n, li W in. Iir, 20"
#UNRESOLVED	1	"Bradw. (I1L)"	"Bradw. (IL)"	"1 Bradw. (I1L) 411"
#UNRESOLVED	1	"Branw7ell"	"Branwell"	"1 Branw7ell 11"
#UNRESOLVED	1	"Bro7unl."	"Brounl."	"1 Bro7unl. 42"
#UNRESOLVED	1	"Brownliev. T7wnmson"	"Brownliev. Twnmson"	"1 Brownliev. T7wnmson, 21"
#UNRESOLVED	1	"Brt1wnl."	"Brtwnl."	"2 Brt1wnl. 231"
#UNRESOLVED	1	"Bt1ll."	"Btll."	"4 Bt1ll. 1"
#UNRESOLVED	1	"Bu1rb."	"Burb."	"15 Bu1rb., 5"
#UNRESOLVED	1	"Bu1sl"	"Busl"	"11 Bu1sl, 565"
#UNRESOLVED	1	"Bu3rhey, iJartla"	"Burhey, iJartla"	"113 Bu3rhey, iJartla, 417"
#UNRESOLVED	1	"Bu3t."	"But."	"3 Bu3t. 11"
#UNRESOLVED	1	"Bua1st"	"Buast"	"2 Bua1st 254"
#UNRESOLVED	1	"Bulst. l6s."	"Bulst. ls."	"3 Bulst. l6s. 1"
#UNRESOLVED	1	"Buo & P1ll."	"Buo & Pll."	"1 Buo & P1ll. 5"
#UNRESOLVED	1	"Burr, la5Q."	"Burr, laQ."	"3 Burr, la5Q.\n\t\t\t467"
#UNRESOLVED	1	"Bury. I1T."	"Bury. IT."	"3 Bury. I1T. 3"
#UNRESOLVED	1	"Busbee E4q."	"Busbee Eq."	"1 Busbee E4q. 283"
#UNRESOLVED	1	"Bush., fi5B."	"Bush., fiB."	"9 Bush., fi5B.\n\t\t\t2"
#UNRESOLVED	1	"But B3ell"	"But Bell"	"4 But B3ell, 8"
#UNRESOLVED	1	"Butm7ti"	"Butmti"	"4 Butm7ti 1"
#UNRESOLVED	1	"Byrne, Ex pa1rte"	"Byrne, Ex parte"	"746 Byrne, Ex pa1rte 268"
#UNRESOLVED	1	"C II. A2pl."	"C II. Apl."	"1 C II. A2pl. 307"
#UNRESOLVED	1	"C It1s& N"	"C Its& N"	"7 C It1s& N 1711"
#UNRESOLVED	1	"C(o0lg. pp."	"C(olg. pp."	"9 C(o0lg. pp. 746"
#UNRESOLVED	1	"C(o1i ."	"C(oi ."	"81 C(o1i . 111"
#UNRESOLVED	1	"C(o1n."	"C(on."	"25 C(o1n. 19"
#UNRESOLVED	1	"C, h1AV. g"	"C, hAV. g"	"2 C, h1AV. g 2"
#UNRESOLVED	1	"C. & P. S8ó) . ."	"C. & P. Só) . ."	"4 C. & P. S8ó) . . 127"
#UNRESOLVED	1	"C. &M4M."	"C. &MM."	"1 C. &M4M. 4"
#UNRESOLVED	1	"C. A3br"	"C. Abr"	"8 C. A3br 219"
#UNRESOLVED	1	"C. B. u8S"	"C. B. uS"	"10 C. B. u8S, 3"
#UNRESOLVED	1	"C. B., j1resmell"	"C. B., jresmell"	"17 C. B., j1resmell, 3"
#UNRESOLVED	1	"C. C. A. J9J"	"C. C. A. JJ"	"71 C. C. A. J9J, 1"
#UNRESOLVED	1	"C. C. A. i2S."	"C. C. A. iS."	"5 C. C. A.\n\t\t\ti2S. 31"
#UNRESOLVED	1	"C. D. G5S."	"C. D. GS."	"2 C. D. G5S.\n\t\t\t1"
#UNRESOLVED	1	"C. I. l1l."	"C. I. ll."	"3 C. I. l1l.\n\t\t\t7"
#UNRESOLVED	1	"C. R0t Ad."	"C. Rt Ad."	"1 C. R0t Ad. 30"
#UNRESOLVED	1	"C. l1ob."	"C. lob."	"3 C. l1ob. 2"
#UNRESOLVED	1	"C. s5o"	"C. so"	"925 C. s5o 1"
#UNRESOLVED	1	"C.i1l A lP reel"	"C.il A lP reel"	"11 C.i1l A lP reel 4"
#UNRESOLVED	1	"C0L. P o ."	"CL. P o ."	"4 C0L. P o . 76"
#UNRESOLVED	1	"C0allaan Ulnry"	"Callaan Ulnry"	"021 C0allaan Ulnry 23"
#UNRESOLVED	1	"C0an."	"Can."	"29 C0an. 403"
#UNRESOLVED	1	"C0ln."	"Cln."	"19 C0ln. 339"
#UNRESOLVED	1	"C0oilli."	"Coilli."	"11 C0oilli. 223"
#UNRESOLVED	1	"C0omltIonl"	"ComltIonl"	"11 C0omltIonl, 4"
#UNRESOLVED	1	"C0z"	"Cz"	"2 C0z, 377"
#UNRESOLVED	1	"C1HANCERY LANE."	"CHANCERY LANE."	"120 C1HANCERY LANE.\n\t\t\t19"
#UNRESOLVED	1	"C1IAPTER II."	"CIAPTER II."	"147 C1IAPTER II. 1"
#UNRESOLVED	1	"C1IIiFtES."	"CIIiFtES."	"11 C1IIiFtES. 203"
#UNRESOLVED	1	"C1L D."	"CL D."	"10 C1L D. 157"
#UNRESOLVED	1	"C1Sll.)"	"CSll.)"	"6 C1Sll.) 440"
#UNRESOLVED	1	"C1UIIA."	"CUIIA."	"143 C1UIIA. 111"
#UNRESOLVED	1	"C1a(tlplllltl"	"Ca(tlplllltl"	"17 C1a(tlplllltl 1"
#UNRESOLVED	1	"C1a. Diy."	"Ca. Diy."	"4 C1a. Diy. 442"
#UNRESOLVED	1	"C1ack Co."	"Cack Co."	"1 C1ack Co., 2"
#UNRESOLVED	1	"C1ax"	"Cax"	"10 C1ax 0"
#UNRESOLVED	1	"C1c."	"Cc."	"4 C1c. 54"
#UNRESOLVED	1	"C1ff."	"Cff."	"3 C1ff. 462"
#UNRESOLVED	1	"C1g,w"	"Cg,w"	"4 C1g,w , 1"
#UNRESOLVED	1	"C1h. )"	"Ch. )"	"1 C1h. ) 297"
#UNRESOLVED	1	"C1h.l)."	"Ch.l)."	"8 C1h.l). 5"
#UNRESOLVED	1	"C1haP."	"ChaP."	"115 C1haP. 10"
#UNRESOLVED	1	"C1i. AJp)."	"Ci. AJp)."	"1 C1i. AJp). 66"
#UNRESOLVED	1	"C1i. App."	"Ci. App."	"10 C1i. App. 628"
#UNRESOLVED	1	"C1i. D."	"Ci. D."	"37 C1i. D. 1"
#UNRESOLVED	1	"C1i. D. ."	"Ci. D. ."	"1 C1i. D. . 11"
#UNRESOLVED	1	"C1i. Div."	"Ci. Div."	"26 C1i. Div. 6"
#UNRESOLVED	1	"C1i. I)."	"Ci. I)."	"22 C1i. I). 215"
#UNRESOLVED	1	"C1i. I."	"Ci. I."	"1 C1i. I. 1"
#UNRESOLVED	1	"C1i. P."	"Ci. P."	"7 C1i. P. 121"
#UNRESOLVED	1	"C1if."	"Cif."	"2 C1if. 435"
#UNRESOLVED	1	"C1itlpilgo I r"	"Citlpilgo I r"	"0 C1itlpilgo I r 01"
#UNRESOLVED	1	"C1l . ."	"Cl . ."	"38 C1l . . 670"
#UNRESOLVED	1	"C1l. App."	"Cl. App."	"3 C1l. App. 691"
#UNRESOLVED	1	"C1l. Cr. L."	"Cl. Cr. L."	"1 C1l. Cr. L. 821"
#UNRESOLVED	1	"C1l. Div."	"Cl. Div."	"6 C1l. Div. 371"
#UNRESOLVED	1	"C1lo."	"Clo."	"41 C1lo. 253"
#UNRESOLVED	1	"C1n. Cans."	"Cn. Cans."	"1 C1n. Cans. 8"
#UNRESOLVED	1	"C1odes & Stats."	"Codes & Stats."	"2 C1odes & Stats. 1910"
#UNRESOLVED	1	"C1on1per r. laddox"	"Conper r. laddox"	"33 C1on1per r. laddox, 2"
#UNRESOLVED	1	"C1usl. (Mass.)"	"Cusl. (Mass.)"	"7 C1usl. (Mass.) 53"
#UNRESOLVED	1	"C2Oupn"	"COupn"	"1 C2Oupn 7"
#UNRESOLVED	1	"C2S"	"CS"	"9 C2S 630"
#UNRESOLVED	1	"C2arricky Robert"	"Carricky Robert"	"2 C2arricky Robert 2"
#UNRESOLVED	1	"C2ipi"	"Cipi"	"3 C2ipi 222"
#UNRESOLVED	1	"C2itt."	"Citt."	"2 C2itt. 602"
#UNRESOLVED	1	"C2o. Inist,."	"Co. Inist,."	"2 C2o. Inist,. 318"
#UNRESOLVED	1	"C2s"	"Cs"	"212 C2s 2112"
#UNRESOLVED	1	"C3nn."	"Cnn."	"59 C3nn. 224"
#UNRESOLVED	1	"C3zo."	"Czo."	"17 C3zo. 3"
#UNRESOLVED	1	"C4II.. alill"	"CII.. alill"	"7 C4II.. alill 3"
#UNRESOLVED	1	"C4Jpy"	"CJpy"	"102 C4Jpy 44"
#UNRESOLVED	1	"C4lon. App."	"Clon. App."	"7 C4lon. App. 511"
#UNRESOLVED	1	"C4nss."	"Cnss."	"07 C4nss. 124"
#UNRESOLVED	1	"C4ocUPT PRACTICES"	"CocUPT PRACTICES"	"429 C4ocUPT PRACTICES, 37"
#UNRESOLVED	1	"C4ranrch"	"Cranrch"	"8 C4ranrch, 8"
#UNRESOLVED	1	"C4rrilttl."	"Crrilttl."	"89 C4rrilttl. 1"
#UNRESOLVED	1	"C6ORUPT CONTRACT"	"CORUPT CONTRACT"	"312 C6ORUPT CONTRACT, 428"
#UNRESOLVED	1	"C6it."	"Cit."	"2 C6it. 646"
#UNRESOLVED	1	"C6m. Dig. Ann. A."	"Cm. Dig. Ann. A."	"35 C6m. Dig. Ann. A. 24"
#UNRESOLVED	1	"C6nn."	"Cnn."	"14 C6nn. 889"
#UNRESOLVED	1	"C6pingcr ......"	"Cpingcr ......"	"21 C6pingcr ...... 45"
#UNRESOLVED	1	"C6v."	"Cv."	"2 C6v. 818"
#UNRESOLVED	1	"C6w. (N. Y.)"	"Cw. (N. Y.)"	"5 C6w. (N. Y.) 494"
#UNRESOLVED	1	"C7Co."	"CCo."	"6 C7Co. 1"
#UNRESOLVED	1	"C7t. D."	"Ct. D."	"16 C7t. D. 648"
#UNRESOLVED	1	"C8ra"	"Cra"	"3 C8ra, 283"
#UNRESOLVED	1	"C9aD."	"CaD."	"2 C9aD. 294"
#UNRESOLVED	1	"C9sh."	"Csh."	"10 C9sh. 506"
#UNRESOLVED	1	"C9tl )"	"Ctl )"	"239 C9tl ) 210"
#UNRESOLVED	1	"CA.M1r."	"CA.Mr."	"1 CA.M1r., 485"
#UNRESOLVED	1	"CA0llFllHlS"	"CAllFllHlS"	"125\n\t\t\tCA0llFllHlS,\n\t\t\t15"
#UNRESOLVED	1	"CA9l."	"CAl."	"9 CA9l. 2"
#UNRESOLVED	1	"CARGO, DEC1K"	"CARGO, DECK"	"366 CARGO, DEC1K, 134"
#UNRESOLVED	1	"CB0óX"	"CBóX"	"306\n\t\t\tCB0óX 1"
#UNRESOLVED	1	"CH1APTIEI"	"CHAPTIEI"	"450\n\t\t\tCH1APTIEI 27"
#UNRESOLVED	1	"CHA1P. Yl.)"	"CHAP. Yl.)"	"5 CHA1P. Yl.)\n\t\t\t7"
#UNRESOLVED	1	"CHAPTER X1X."	"CHAPTER XX."	"414\n\t\t\tCHAPTER X1X.\n\t\t\t18"
#UNRESOLVED	1	"CHI1AP."	"CHIAP."	"799 CHI1AP. 1"
#UNRESOLVED	1	"CI1A. & F in. Rp."	"CIA. & F in. Rp."	"11 CI1A. & F in. Rp. 1241"
#UNRESOLVED	1	"CI7UI"	"CIUI"	"11 CI7UI 01"
#UNRESOLVED	1	"CII4IIS"	"CIIIIS"	"114 CII4IIS 444"
#UNRESOLVED	1	"CIIA1P. I"	"CIIAP. I"	"325 CIIA1P. I,\n\t\t\t1"
#UNRESOLVED	1	"CIIAP. I1l."	"CIIAP. Il."	"2 CIIAP. I1l. ,\n\t\t\t64"
#UNRESOLVED	1	"CIIAPT.E1l VIll."	"CIIAPT.El VIll."	"201 CIIAPT.E1l VIll. 01"
#UNRESOLVED	1	"CItR1MNAL IMATTERS"	"CItRMNAL IMATTERS"	"16 CItR1MNAL IMATTERS, 11"
#UNRESOLVED	1	"CIve bov IlI1W.o"	"CIve bov IlIW.o"	"11 CIve bov IlI1W.o 1"
#UNRESOLVED	1	"CJ1o."	"CJo."	"2 CJ1o. 465"
#UNRESOLVED	1	"CL4x"	"CLx"	"7 CL4x, 7410"
#UNRESOLVED	1	"CLAISSES O1lP"	"CLAISSES OlP"	"11 CLAISSES O1lP 1"
#UNRESOLVED	1	"CO0MPANIES ACT"	"COMPANIES ACT"	"169 CO0MPANIES ACT, 1007"
#UNRESOLVED	1	"CO3L., Sect."	"COL., Sect."	"7 CO3L., Sect. 25"
#UNRESOLVED	1	"COM1MON COUNTS"	"COMMON COUNTS"	"723 COM1MON COUNTS, 340"
#UNRESOLVED	1	"COMPIUTATIO0N"	"COMPIUTATION"	"204\n\t\t\tCOMPIUTATIO0N 010"
#UNRESOLVED	1	"CON6InDElATION"	"CONInDElATION"	"187 CON6InDElATION 69"
#UNRESOLVED	1	"CONTBAC5S, . ."	"CONTBACS, . ."	"400 CONTBAC5S, . . 405"
#UNRESOLVED	1	"COPYRIG1IT"	"COPYRIGIT"	"5\n\t\t\tCOPYRIG1IT, 9"
#UNRESOLVED	1	"COWZ)UCT1NOG"	"COWZ)UCTNOG"	"01 COWZ)UCT1NOG 772"
#UNRESOLVED	1	"CU1TTE.I"	"CUTTE.I"	"2 CU1TTE.I 1"
#UNRESOLVED	1	"Ca I1i."	"Ca Ii."	"4 Ca I1i. 73"
#UNRESOLVED	1	"Ca1LI"	"CaLI"	"10 Ca1LI 3"
#UNRESOLVED	1	"Ca1lti ."	"Calti ."	"1 Ca1lti . 52"
#UNRESOLVED	1	"Ca4cy. Pa."	"Cacy. Pa."	"3 Ca4cy. Pa. 220"
#UNRESOLVED	1	"Ca5xrinitcr r."	"Caxrinitcr r."	"1 Ca5xrinitcr r. 1"
#UNRESOLVED	1	"Cal. (i2S."	"Cal. (iS."	"122 Cal. (i2S. 2"
#UNRESOLVED	1	"Cal. C0S"	"Cal. CS"	"127 Cal. C0S, 60"
#UNRESOLVED	1	"Cal. S0O"	"Cal. SO"	"30 Cal. S0O, 33"
#UNRESOLVED	1	"Cal. fi6l."	"Cal. fil."	"142 Cal. fi6l. 76"
#UNRESOLVED	1	"Cal. s6i."	"Cal. si."	"49 Cal. s6i. 7"
#UNRESOLVED	1	"Cal1c."	"Calc."	"8 Cal1c. 61"
#UNRESOLVED	1	"Calil R1p."	"Calil Rp."	"2 Calil R1p. 10"
#UNRESOLVED	1	"Cam4pIh."	"CampIh."	"2 Cam4pIh. 411"
#UNRESOLVED	1	"CamP1ib."	"CamPib."	"3 CamP1ib. 19"
#UNRESOLVED	1	"Campb. (ti5i"	"Campb. (tii"	"2 Campb. (ti5i, 657"
#UNRESOLVED	1	"Campb. R1p."	"Campb. Rp."	"1 Campb. R1p. 19"
#UNRESOLVED	1	"Campb4V. P."	"CampbV. P."	"1 Campb4V. P. 185"
#UNRESOLVED	1	"Can1p."	"Canp."	"4 Can1p. 275"
#UNRESOLVED	1	"Capdo7iollo, Be"	"Capdoiollo, Be"	"260 Capdo7iollo, Be, 2"
#UNRESOLVED	1	"Car. & i6r."	"Car. & ir."	"8 Car. & i6r. 46"
#UNRESOLVED	1	"Carr. M3U."	"Carr. MU."	"1 Carr. M3U. 248"
#UNRESOLVED	1	"Carr. R1p."	"Carr. Rp."	"1 Carr. R1p. 16"
#UNRESOLVED	1	"Cas1itnti Light &"	"Casitnti Light &"	"4 Cas1itnti Light & 1"
#UNRESOLVED	1	"Casc (ILe1ach"	"Casc (ILeach"	"20\n\t\t\tCasc (ILe1ach 145"
#UNRESOLVED	1	"Causes C6lbbres"	"Causes Clbbres"	"5 Causes C6lbbres, 437"
#UNRESOLVED	1	"Causes Cel1bres"	"Causes Celbres"	"5 Causes Cel1bres, 449"
#UNRESOLVED	1	"Cd1l"	"Cdl"	"81 Cd1l 88"
#UNRESOLVED	1	"Celllc4l."	"Celllcl."	"35 Celllc4l., 43"
#UNRESOLVED	1	"Cf. I1p."	"Cf. Ip."	"1 Cf. I1p. 99"
#UNRESOLVED	1	"Ch. Ca. i6t II."	"Ch. Ca. it II."	"2 Ch. Ca. i6t II. 649"
#UNRESOLVED	1	"Ch. Cas. KK2r"	"Ch. Cas. KKr"	"2 Ch. Cas.\n\t\t\tKK2r\n\t\t\t499"
#UNRESOLVED	1	"Ch. D. b5a"	"Ch. D. ba"	"8 Ch. D. b5a, 0"
#UNRESOLVED	1	"Ch. D. ea8ora."	"Ch. D. eaora."	"22 Ch. D. ea8ora. 410"
#UNRESOLVED	1	"Ch. G4G."	"Ch. GG."	"3 Ch. G4G. 378"
#UNRESOLVED	1	"Ch1illy"	"Chilly"	"175 Ch1illy 119"
#UNRESOLVED	1	"Ch1li. Rep."	"Chli. Rep."	"2 Ch1li. Rep. 153"
#UNRESOLVED	1	"Ch8mage de"	"Chmage de"	"13 Ch8mage de 1"
#UNRESOLVED	1	"Cha8asI.I."	"ChaasI.I."	"14 Cha8asI.I. 3"
#UNRESOLVED	1	"Charities, r1e"	"Charities, re"	"310\n\t\t\tCharities, r1e 42"
#UNRESOLVED	1	"Chit. Prac. l1th ed."	"Chit. Prac. lth ed."	"2 Chit. Prac. l1th ed. 12"
#UNRESOLVED	1	"Chit. Rep. c2ci, ("	"Chit. Rep. cci, ("	"1 Chit. Rep. c2ci, ( 51"
#UNRESOLVED	1	"Chit. Tid S9th edit."	"Chit. Tid Sth edit."	"3 Chit. Tid S9th edit. 64"
#UNRESOLVED	1	"Chnn2llr"	"Chnnllr"	"2 Chnn2llr, 1"
#UNRESOLVED	1	"Ci3X C. U."	"CiX C. U."	"1 Ci3X C. U. 224"
#UNRESOLVED	1	"CiI0iho.ly u t till"	"CiIiho.ly u t till"	"1 CiI0iho.ly u t till 5"
#UNRESOLVED	1	"Cii1A."	"CiiA."	"058\n\t\t\tCii1A. 81"
#UNRESOLVED	1	"Cii1i."	"Ciii."	"12 Cii1i. 101"
#UNRESOLVED	1	"CinI. Law Il1il."	"CinI. Law Ilil."	"3 CinI. Law Il1il. 100"
#UNRESOLVED	1	"Civ. Proc. l1ep."	"Civ. Proc. lep."	"18 Civ. Proc. l1ep. 21"
#UNRESOLVED	1	"Cl.N. In(w tu1ll."	"Cl.N. In(w tull."	"3 Cl.N. In(w tu1ll. 114"
#UNRESOLVED	1	"Cl0AP."	"ClAP."	"4\n\t\t\tCl0AP. 11"
#UNRESOLVED	1	"Cl0lP."	"CllP."	"921 Cl0lP. 1"
#UNRESOLVED	1	"Cl1f."	"Clf."	"2 Cl1f. 27"
#UNRESOLVED	1	"Cl1ltshlll . S. .."	"Clltshlll . S. .."	"7 Cl1ltshlll . S. .. 1"
#UNRESOLVED	1	"Cl1rot."	"Clrot."	"2 Cl1rot., 40"
#UNRESOLVED	1	"Clay . M1cCally"	"Clay . McCally"	"3 Clay . M1cCally, 4"
#UNRESOLVED	1	"Cli. D. o9S."	"Cli. D. oS."	"30 Cli. D. o9S. 2"
#UNRESOLVED	1	"Cli1T."	"CliT."	"1 Cli1T. 425"
#UNRESOLVED	1	"Clif1f"	"Cliff"	"4 Clif1f 88"
#UNRESOLVED	1	"Cliff. a5c"	"Cliff. ac"	"4 Cliff. a5c, 251"
#UNRESOLVED	1	"Cll. l1t"	"Cll. lt"	"1 Cll. l1t, 11"
#UNRESOLVED	1	"Cllr1i."	"Cllri."	"10 Cllr1i. 71"
#UNRESOLVED	1	"Clt7m. Annals."	"Cltm. Annals."	"1 Clt7m. Annals., 677"
#UNRESOLVED	1	"Cn2ost."	"Cnost."	"2 Cn2ost. 258"
#UNRESOLVED	1	"CnzAP Tna1qs ACT"	"CnzAP Tnaqs ACT"	"48 CnzAP Tna1qs ACT, 1883"
#UNRESOLVED	1	"Co up. C0l."	"Co up. Cl."	"2 Co up. C0l. 3"
#UNRESOLVED	1	"Co. (IS1IS)"	"Co. (ISIS)"	"2 Co. (IS1IS), 5"
#UNRESOLVED	1	"Co. Litt. (O1th ed.)"	"Co. Litt. (Oth ed.)"	"2 Co. Litt. (O1th ed.) 20"
#UNRESOLVED	1	"Co. Litt. (t9th cd.)"	"Co. Litt. (tth cd.)"	"3 Co. Litt. (t9th cd.) 20"
#UNRESOLVED	1	"Co. l1cp."	"Co. lcp."	"9 Co. l1cp. 75"
#UNRESOLVED	1	"Co. t6I. b. Palm."	"Co. tI. b. Palm."	"8 Co. t6I. b. Palm. 404"
#UNRESOLVED	1	"Co0ccn"	"Coccn"	"3 Co0ccn, 230"
#UNRESOLVED	1	"Co0l"	"Col"	"111 Co0l 4444"
#UNRESOLVED	1	"Co0n. Bench"	"Con. Bench"	"10 Co0n. Bench 12"
#UNRESOLVED	1	"Co0n. J."	"Con. J."	"108 Co0n. J. 304"
#UNRESOLVED	1	"Co0nn.,."	"Conn.,."	"31 Co0nn.,. 03"
#UNRESOLVED	1	"Co1ill."	"Coill."	"1 Co1ill. 3011"
#UNRESOLVED	1	"Co1o."	"Coo."	"54 Co1o. 1"
#UNRESOLVED	1	"Co1tn. B."	"Cotn. B."	"13 Co1tn. B. 4"
#UNRESOLVED	1	"Co2nyn"	"Conyn"	"1 Co2nyn, 26"
#UNRESOLVED	1	"Co9n"	"Con"	"28 Co9n, 69"
#UNRESOLVED	1	"Co9n. J"	"Con. J"	"95 Co9n. J 2"
#UNRESOLVED	1	"CoMn. V. Geole0t"	"CoMn. V. Geolet"	"264 CoMn. V. Geole0t, 160"
#UNRESOLVED	1	"CoNsoIID1ATION HtUL"	"CoNsoIIDATION HtUL"	"203 CoNsoIID1ATION HtUL 2"
#UNRESOLVED	1	"Cobbold c.Ba3as"	"Cobbold c.Baas"	"414 Cobbold c.Ba3as, 4"
#UNRESOLVED	1	"Coc7inne ,l. Gric"	"Cocinne ,l. Gric"	"29 Coc7inne ,l. Gric, 0"
#UNRESOLVED	1	"Code (I9II) Art."	"Code (III) Art."	"2 Code (I9II) Art. 23"
#UNRESOLVED	1	"Codekdgee. Fansa5e"	"Codekdgee. Fansae"	"11 Codekdgee. Fansa5e, 37"
#UNRESOLVED	1	"Coi1uilJ"	"CoiuilJ"	"217 Coi1uilJ 111"
#UNRESOLVED	1	"Coitracts, f9th ed."	"Coitracts, fth ed."	"11 Coitracts, f9th ed., 2"
#UNRESOLVED	1	"Coldw.) z6o."	"Coldw.) zo."	"5 Coldw.) z6o. 1"
#UNRESOLVED	1	"Coli2l."	"Colil."	"3 Coli2l. 4115"
#UNRESOLVED	1	"Colll A1lt n y"	"Colll Alt n y"	"11 Colll A1lt n y 0"
#UNRESOLVED	1	"Colo. Iss6i"	"Colo. Issi"	"49 Colo. Iss6i 112"
#UNRESOLVED	1	"Colo. Z7G."	"Colo. ZG."	"7 Colo. Z7G. 42"
#UNRESOLVED	1	"Comm. i2thl edit. p."	"Comm. ithl edit. p."	"2 Comm. i2thl edit. p. 57"
#UNRESOLVED	1	"Company Ma2nagement"	"Company Management"	"3 Company Ma2nagement 3"
#UNRESOLVED	1	"Comt., G0S. A"	"Comt., GS. A"	"4 Comt., G0S. A 1"
#UNRESOLVED	1	"Con0ii."	"Conii."	"9 Con0ii. 5"
#UNRESOLVED	1	"Cong. p1p."	"Cong. pp."	"49 Cong. p1p. 582"
#UNRESOLVED	1	"Cong. pp. lo1l"	"Cong. pp. lol"	"49 Cong. pp. lo1l, 1200"
#UNRESOLVED	1	"Conn. U6i)"	"Conn. Ui)"	"43 Conn. U6i) 248"
#UNRESOLVED	1	"ContraetS, C1Inp."	"ContraetS, CInp."	"011 ContraetS, C1Inp. 2"
#UNRESOLVED	1	"Cootc, M1orig."	"Cootc, Morig."	"8 Cootc, M1orig. 42"
#UNRESOLVED	1	"Cov1p."	"Covp."	"2 Cov1p. 71"
#UNRESOLVED	1	"Cow. G6l."	"Cow. Gl."	"0 Cow. G6l. 2"
#UNRESOLVED	1	"Cow. a7s"	"Cow. as"	"2 Cow. a7s, 699"
#UNRESOLVED	1	"Cow. o0l ."	"Cow. ol ."	"7 Cow. o0l . 0"
#UNRESOLVED	1	"Cow3n"	"Cown"	"7 Cow3n, 46"
#UNRESOLVED	1	"Cowan, I9th Jan."	"Cowan, Ith Jan."	"3 Cowan, I9th Jan. 1788"
#UNRESOLVED	1	"Cowsla1d r. Cely"	"Cowslad r. Cely"	"813 Cowsla1d r. Cely 78"
#UNRESOLVED	1	"Cr4nclh."	"Crnclh."	"9 Cr4nclh. 4"
#UNRESOLVED	1	"Cr6es. ."	"Cres. ."	"6 Cr6es. . 551"
#UNRESOLVED	1	"Craiss., n. Io6I"	"Craiss., n. IoI"	"4 Craiss., n. Io6I, 1062"
#UNRESOLVED	1	"Cran1ch. R."	"Cranch. R."	"4 Cran1ch. R. 211"
#UNRESOLVED	1	"Cranch, i6o x Story"	"Cranch, io x Story"	"9 Cranch, i6o x Story, 33"
#UNRESOLVED	1	"Crans6n i. Goss"	"Cransn i. Goss"	"1 Crans6n i. Goss, 107"
